PLAYER NAME,NATIONALITY,RUNS MADE TILL THAT YEAR 
GS Chappell,Australia,22(till1971),123(till1972),240(till1974),472(till1975),646(till1977),919(till1979),1265(till1980),1719(till1981),2057(till1982),2331(till1983),
IM Chappell,Australia,60(till1971),147(till1972),316(till1974),542(till1975),665(till1979),673(till1980),
AN Connolly,Australia,0(till1971),
WM Lawry,Australia,27(till1971),
GD McKenzie,Australia,0(till1971),
AA Mallett,Australia,0(till1971),14(till1972),14(till1974),14(till1975),
RW Marsh,Australia,10(till1971),27(till1972),28(till1974),120(till1975),163(till1977),263(till1979),370(till1980),585(till1981),686(till1982),943(till1983),1225(till1984),
IR Redpath,Australia,12(till1971),20(till1974),46(till1975),
KR Stackpole,Australia,13(till1971),163(till1972),224(till1974),
AL Thomson,Australia,0(till1971),
KD Walters,Australia,41(till1971),58(till1972),77(till1974),218(till1975),230(till1977),276(till1979),336(till1980),513(till1981),
R Edwards,Australia,69(till1972),255(till1975),
DK Lillee,Australia,13(till1972),32(till1975),92(till1979),121(till1980),189(till1981),232(till1982),240(till1983),
RAL Massie,Australia,16(till1972),
AP Sheahan,Australia,75(till1972),
GD Watson,Australia,11(till1972),
DJ Colley,Australia,0(till1972),
JR Hammond,Australia,15(till1972),
RJ Bright,Australia,0(till1974),17(till1977),37(till1979),42(till1980),60(till1981),66(till1986),
IC Davis,Australia,11(till1974),12(till1977),
G Dymock,Australia,0(till1974),2(till1977),17(till1979),35(till1980),
GJ Gilmour,Australia,0(till1974),42(till1975),
MHN Walker,Australia,0(till1974),56(till1975),61(till1977),70(till1979),75(till1980),79(till1981),
AJ Woodcock,Australia,53(till1974),
WJ Edwards,Australia,2(till1975),
AG Hurst,Australia,1(till1975),7(till1979),
TJ Jenner,Australia,12(till1975),
JR Thomson,Australia,55(till1975),61(till1977),62(till1978),62(till1979),80(till1980),94(till1981),143(till1982),181(till1983),181(till1985),
RB McCosker,Australia,120(till1975),132(till1977),133(till1979),269(till1980),320(till1982),
A Turner,Australia,247(till1975),
GJ Cosier,Australia,25(till1975),28(till1977),112(till1978),154(till1979),
DW Hookes,Australia,14(till1977),23(till1979),41(till1982),682(till1983),821(till1984),826(till1986),
MF Malone,Australia,5(till1977),36(till1982),
KJ O'Keeffe,Australia,16(till1977),
LS Pascoe,Australia,4(till1977),4(till1979),9(till1980),12(till1981),39(till1982),
CS Serjeant,Australia,48(till1977),73(till1978),
KJ Hughes,Australia,5(till1977),227(till1979),529(till1980),869(till1981),1105(till1982),1420(till1983),1942(till1984),1968(till1985),
RD Robinson,Australia,82(till1977),
IW Callen,Australia,6(till1978),6(till1982),
WM Clark,Australia,0(till1978),
WM Darling,Australia,29(till1978),128(till1979),290(till1981),363(till1982),
TJ Laughlin,Australia,2(till1978),105(till1979),
SJ Rixon,Australia,20(till1978),40(till1985),
RB Simpson,Australia,36(till1978),
PM Toohey,Australia,35(till1978),105(till1979),
